File_names,Labels,Start_time,End_time
chb19_01.edf,0,0,0
chb19_02.edf,0,0,0
chb19_03.edf,0,0,0
chb19_04.edf,0,0,0
chb19_05.edf,0,0,0
chb19_06.edf,0,0,0
chb19_07.edf,0,0,0
chb19_08.edf,0,0,0
chb19_09.edf,0,0,0
chb19_10.edf,0,0,0
chb19_11.edf,0,0,0
chb19_12.edf,0,0,0
chb19_13.edf,0,0,0
chb19_14.edf,0,0,0
chb19_15.edf,0,0,0
chb19_16.edf,0,0,0
chb19_17.edf,0,0,0
chb19_18.edf,0,0,0
chb19_19.edf,0,0,0
chb19_20.edf,0,0,0
chb19_21.edf,0,0,0
chb19_22.edf,0,0,0
chb19_23.edf,0,0,0
chb19_24.edf,0,0,0
chb19_25.edf,0,0,0
chb19_26.edf,0,0,0
chb19_27.edf,0,0,0
chb19_28.edf,1,299,377
chb19_29.edf,1,2964,3041
chb19_30.edf,1,3159,3240
